key,description,type
PostVaccineActivity1,"How long after getting fully vaccinated do you plan to do each of the following activities? Visit households outside your bubble or pod (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity2,"How long after getting fully vaccinated do you plan to do each of the following activities? Travel domestically  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity3,"How long after getting fully vaccinated do you plan to do each of the following activities? Travel internationally  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity4,"How long after getting fully vaccinated do you plan to do each of the following activities? Get non-emergency medical checkups  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity5,"How long after getting fully vaccinated do you plan to do each of the following activities? Dine at a restaurant indoors  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity6,"How long after getting fully vaccinated do you plan to do each of the following activities? Go to a bar  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)

",int
PostVaccineActivity7,"How long after getting fully vaccinated do you plan to do each of the following activities? Attend a party  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity8,"How long after getting fully vaccinated do you plan to do each of the following activities? Do non-essential shopping   (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)

",int
PostVaccineActivity9,"How long after getting fully vaccinated do you plan to do each of the following activities? Get a haircut or other personal care (spa, nail salon, etc.)  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity10,"How long after getting fully vaccinated do you plan to do each of the following activities? Meet a new dating partner  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity11,"How long after getting fully vaccinated do you plan to do each of the following activities? Go to the gym  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity12,"How long after getting fully vaccinated do you plan to do each of the following activities? Go to a movie  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity13,"How long after getting fully vaccinated do you plan to do each of the following activities? Attend a concert  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity14,"How long after getting fully vaccinated do you plan to do each of the following activities? Attend a sporting event  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity15,"How long after getting fully vaccinated do you plan to do each of the following activities? Attend a religious service  (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)",int
PostVaccineActivity16,"How long after getting fully vaccinated do you plan to do each of the following activities? Work outside your home   (1 = Already do, 2 = 2 weeks, 3 = 1 month, 4 = 4 months, 5 = 6 months, 6 = 9 months, 7 = 1 year, 8 = 2 years, 9 = More than 2 years, 10 = Never)

",int
CDCguidelines1,"Which of these are the current CDC guidelines regarding preventative measures after vaccination? Select all that apply. Fully vaccinated people can gather indoors with other fully vaccinated people without wearing masks (0 = False, 1 = True)",int
CDCguidelines2,"Which of these are the current CDC guidelines regarding preventative measures after vaccination? Select all that apply. Fully vaccinated people can attend medium-sized gatherings (0 = False, 1 = True)",int
CDCguidelines3,"Which of these are the current CDC guidelines regarding preventative measures after vaccination? Select all that apply. Fully vaccinated people no longer need to delay domestic travel  (0 = False, 1 = True)",int
CDCguidelines4,"Which of these are the current CDC guidelines regarding preventative measures after vaccination? Select all that apply. Fully vaccinated people can visit a household of unvaccinated people, as long as the unvaccinated household does not include someone high-risk  (0 = False, 1 = True)",int
CDCpostVaccine,"How likely are you to follow the CDC guidelines regarding preventative measures after vaccination? (1 = Very unlikely, 7 = Very likely)",int
NoMaskOutPoliOri,"If you see someone OUTSIDE in a public space who IS NOT wearing a mask, do you think they are: (1=Very likely liberal, 4= not sure, 7= very likely conservative)",int
NoMaskOutVacc,"If you see someone OUTSIDE in a public space who IS NOT wearing a mask, do you think they are: (1= very likely vaccinated, 4= not sure, 7= very likely not vaccinated)",int
MaskOutPoliOri,"If you see someone OUTSIDE in a public space who IS wearing a mask, do you think they are: (1=Very likely liberal, 4= not sure, 7= very likely conservative)",int
MaskOutVacc,"If you see someone OUTSIDE in a public space who IS wearing a mask, do you think they are: (1= very likely vaccinated, 4= not sure, 7= very likely not vaccinated)",int
NoMaskInPoliOri,"If you see someone INSIDE in a public space who IS NOT wearing a mask, do you think they are: (1=Very likely liberal, 4= not sure, 7= very likely conservative)",int
NoMaskInVacc,"If you see someone INSIDE in a public space who IS NOT wearing a mask, do you think they are: (1= very likely vaccinated, 4= not sure, 7= very likely not vaccinated)",int
MaskInPoliOri,"If you see someone INSIDE in a public space who IS wearing a mask, do you think they are: (1=Very likely liberal, 4= not sure, 7= very likely conservative)",int
MaskInVacc,"If you see someone INSIDE in a public space who IS wearing a mask, do you think they are: (1= very likely vaccinated, 4= not sure, 7= very likely not vaccinated)",int
OthersJudgeMask,"Do you think others might observe you wearing or not wearing a mask in public and make a judgment about your vaccination status? (1= highly likely, 7= highly unlikely)",int
JudgeWearMask,"Would others making a judgment about your vaccination status based on whether or not you wear a mask in public make you more or less likely to wear a mask? (1= much less likely, 7= much more likely)",int
Loneliness1,"I am unhappy doing so many things alone (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness2,"I have nobody to talk to (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness3,"I cannot tolerate being so alone (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness4,"I lack companionship (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness5,"I feel as if nobody really understands me (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness6,"I find myself waiting for people to call or write (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness7,"There is no one I can turn to (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness8,"I am no longer close to anyone (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness9,"My interests and ideas are not shared by those around me (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness10,"I feel left out (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness11,"I feel completely alone (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness12,"I am unable to reach out and communicate with those around me (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness13,"My social relationships are superficial (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness14,"I feel starved for company (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness15,"No one really knows me well (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness16,"I feel isolated from others (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness17,"I am unhappy being so withdrawn (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness18,"It is difficult for me to make friends (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness19,"I feel shut out and excluded by others (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
Loneliness20,"People are around me but not with me  (1= I never feel this way, 2= I rarely feel this way, 3= I sometimes feel this way, 4= I often feel this way)",int
ContactFriends,"How often have you been in contact with friends (not including family members, in-laws, children) since the pandemic started? (1= Less than once a month, 2= Once a month, 3= Once a week, 4= A few times a week, 5= Every day)",int
TimeRiskyFriend,"How likely are you to spend time in-person with friends who have put themselves at risk of COVID-19 infection (1=Not at all, 7=Very likely)",int
TimeCarefulFriend,"How likely are you to spend time in-person with friends who have been careful about minimizing their risk of COVID-19 infection? (1=Not at all, 7=Very likely)",int
PanWorseFriends,"The pandemic has made my existing friendships worse (1= strongly disagree, 4= neither agree nor disagree, 7= strongly agree)",int
PanBetterFriends,"The pandemic has made my existing friendships better (1= strongly disagree, 4= neither agree nor disagree, 7= strongly agree)",int
SatisfiedFriends,"How satisfied have you been with your friendships during the pandemic? (1= not at all, 4= neither agree nor disagree, 7= completely)",int
Closure1,"I don't like situations that are uncertain. (1= strongly disagree, 7= strongly agree)",int
Closure2,"I dislike questions which could be answered in many different ways. (1= strongly disagree, 7= strongly agree)",int
Closure3,"I find that a well ordered life with regular hours suits my temperament. (1= strongly disagree, 7= strongly agree)",int
Closure4,"I feel uncomfortable when I don't understand the reason why an event occurred in my life. (1= strongly disagree, 7= strongly agree)",int
Closure5,"I feel irritated when one person disagrees with what everyone else in a group believes. (1= strongly disagree, 7= strongly agree)",int
Closure6,"I don't like to go into a situation without knowing what I can expect from it.  (1= strongly disagree, 7= strongly agree)",int
Closure7,"When I have made a decision, I feel relieved.  (1= strongly disagree, 7= strongly agree)",int
Closure8,"When I am confronted with a problem, I?m dying to reach a solution very quickly. (1= strongly disagree, 7= strongly agree)",int
Closure9,"I would quickly become impatient and irritated if I would not find a solution to a problem immediately. (1= strongly disagree, 7= strongly agree)",int
Closure10,"I don't like to be with people who are capable of unexpected actions.  (1= strongly disagree, 7= strongly agree)",int
Closure11,"I dislike it when a person's statement could mean many different things.  (1= strongly disagree, 7= strongly agree)",int
Closure12,"I find that establishing a consistent routine enables me to enjoy life more. (1= strongly disagree, 7= strongly agree)",int
Closure13,"I enjoy having a clear and structured mode of life.  (1= strongly disagree, 7= strongly agree)",int
Closure14,"I do not usually consult many different opinions before forming my own view. (1= strongly disagree, 7= strongly agree)",int
Closure15,"I dislike unpredictable situations. (1= strongly disagree, 7= strongly agree)",int
BIDR1,"I have not always been honest with myself (1=Not true, 7=Very true)",int
BIDR2,"I always know why I like things  (1=Not true, 7=Very true)",int
BIDR3,"It's hard for me to shut off a disturbing thought (1=Not true, 7=Very true)",int
BIDR4,"I never regret my decisions  (1=Not true, 7=Very true)",int
BIDR5,"I sometimes lose out on things because I can't make up my mind soon enough (1=Not true, 7=Very true)",int
BIDR6,"I am a completely rational person  (1=Not true, 7=Very true)",int
BIDR7,"I am very confident of my judgments (1=Not true, 7=Very true)",int
BIDR8,"I have sometimes doubted my ability as a lover (1=Not true, 7=Very true)",int
FMIntentionsSocial,"Considering the risk of contracting and transmitting COVID, how likely would you be to attend a crowded indoor event of the following type: Social event with friends (e.g., dining, party) (1=Not at all, 7=Very likely)",int
FMIntentionsKin,"Considering the risk of contracting and transmitting COVID, how likely would you be to attend a crowded indoor event of the following type: Family event (e.g., dining, reunion)  (1=Not at all, 7=Very likely)",int
FMIntentionsMating,"Considering the risk of contracting and transmitting COVID, how likely would you be to attend a crowded indoor event of the following type: Event to meet a new potential romantic partner (e.g., dining, date)  (1=Not at all, 7=Very likely)",int
FMIntentionsStatus,"Considering the risk of contracting and transmitting COVID, how likely would you be to attend a crowded indoor event of the following type: Career networking event (e.g., job fair, conference)  (1=Not at all, 7=Very likely)",int
FoodScarcity1,"The statements below concern food security by 2050. Food shortages will occur more frequently (1=Strongly disagree, 7=Strongly agree)",int
FoodScarcity2,"The statements below concern food security by 2050. Food resources will become increasingly scarce (1=Strongly disagree, 7=Strongly agree)",int
FoodScarcity3,"The statements below concern food security by 2050. There will be less food available (1=Strongly disagree, 7=Strongly agree)",int
FoodScarcity4,"The statements below concern food security by 2050. Food availability will be more uncertain (1=Strongly disagree, 7=Strongly agree)",int
FoodScarcity5,"The statements below concern food security by 2050. More people will be hungry (1=Strongly disagree, 7=Strongly agree)",int
FoodScarcity6,"The statements below concern food security by 2050. The demand for food will be higher than the supply (1=Strongly disagree, 7=Strongly agree)",int
FoodScarcity7,"The statements below concern food security by 2050. There may not be enough food for everyone (1=Strongly disagree, 7=Strongly agree)",int
FoodScarcity8,"The statements below concern food security by 2050. People will compete for food resources (1=Strongly disagree, 7=Strongly agree)",int
FoodInsecurity1,"How often did you experience the following over the past 12 months (i.e., since August, 2020)? I worried whether my food would run out before I was able to get more (1=Never, 2=Sometimes, 3=Often)",int
FoodInsecurity2,"How often did you experience the following over the past 12 months (i.e., since August, 2020)? I cut the size of meals or skipped meals because there was not enough food (1=Never, 2=Sometimes, 3=Often)",int
FoodInsecurity3,"How often did you experience the following over the past 12 months (i.e., since August, 2020)? I lost weight because there was not enough food (1=Never, 2=Sometimes, 3=Often)",int
FoodInsecurity4,"How often did you experience the following over the past 12 months (i.e., since August, 2020)? I was hungry but did not eat because there was not enough money for food (1=Never, 2=Sometimes, 3=Often)",int
FarMonth2019,"Imagine yourself in August of 2019. How would that person answer the following question: How near or far away does a month from now seem? (1=Very near, 7=Very far)",int
FarYear2019,"Imagine yourself in August of 2019. How would that person answer the following question: How near or far away does a year from now seem? (1=Very near, 7=Very far)",int
Asteroid1,"Imagine the following scenario: Scientists identify a massive asteroid that is on a direct collision course with Earth. It will strike in a year, destroying all human life. The world?s leaders believe that if humanity pools its resources and contributes a great deal of labor to creating new technology, we might be able to destroy the asteroid before impact. But there is a catch. Because all of our effort will be dedicated to developing the new technology, things on Earth will get worse. Everyone will have to work long grueling shifts with little food or rest, and no resources will be available for humanitarian efforts, entertainment, or non-emergency healthcare. Alternatively, humanity could devote all of its resources to maximizing quality of life until the asteroid hits?people could stop working and enjoy their remaining time as they see fit. Developing technology has a 1% chance of destroying the asteroid (1=Maximize quality of life, 2=Some of both, 3=Develop the technology)",int
Asteroid2,"Imagine the following scenario: Scientists identify a massive asteroid that is on a direct collision course with Earth. It will strike in a year, destroying all human life. The world?s leaders believe that if humanity pools its resources and contributes a great deal of labor to creating new technology, we might be able to destroy the asteroid before impact. But there is a catch. Because all of our effort will be dedicated to developing the new technology, things on Earth will get worse. Everyone will have to work long grueling shifts with little food or rest, and no resources will be available for humanitarian efforts, entertainment, or non-emergency healthcare. Alternatively, humanity could devote all of its resources to maximizing quality of life until the asteroid hits?people could stop working and enjoy their remaining time as they see fit. Developing technology has a 10% chance of destroying the asteroid  (1=Maximize quality of life, 2=Some of both, 3=Develop the technology)",int
Asteroid3,"Imagine the following scenario: Scientists identify a massive asteroid that is on a direct collision course with Earth. It will strike in a year, destroying all human life. The world?s leaders believe that if humanity pools its resources and contributes a great deal of labor to creating new technology, we might be able to destroy the asteroid before impact. But there is a catch. Because all of our effort will be dedicated to developing the new technology, things on Earth will get worse. Everyone will have to work long grueling shifts with little food or rest, and no resources will be available for humanitarian efforts, entertainment, or non-emergency healthcare. Alternatively, humanity could devote all of its resources to maximizing quality of life until the asteroid hits?people could stop working and enjoy their remaining time as they see fit. Developing technology has a 33% chance of destroying the asteroid  (1=Maximize quality of life, 2=Some of both, 3=Develop the technology)",int
Asteroid4,"Imagine the following scenario: Scientists identify a massive asteroid that is on a direct collision course with Earth. It will strike in a year, destroying all human life. The world?s leaders believe that if humanity pools its resources and contributes a great deal of labor to creating new technology, we might be able to destroy the asteroid before impact. But there is a catch. Because all of our effort will be dedicated to developing the new technology, things on Earth will get worse. Everyone will have to work long grueling shifts with little food or rest, and no resources will be available for humanitarian efforts, entertainment, or non-emergency healthcare. Alternatively, humanity could devote all of its resources to maximizing quality of life until the asteroid hits?people could stop working and enjoy their remaining time as they see fit. Developing technology has a 66% chance of destroying the asteroid  (1=Maximize quality of life, 2=Some of both, 3=Develop the technology)",int
Asteroid5,"Imagine the following scenario: Scientists identify a massive asteroid that is on a direct collision course with Earth. It will strike in a year, destroying all human life. The world?s leaders believe that if humanity pools its resources and contributes a great deal of labor to creating new technology, we might be able to destroy the asteroid before impact. But there is a catch. Because all of our effort will be dedicated to developing the new technology, things on Earth will get worse. Everyone will have to work long grueling shifts with little food or rest, and no resources will be available for humanitarian efforts, entertainment, or non-emergency healthcare. Alternatively, humanity could devote all of its resources to maximizing quality of life until the asteroid hits?people could stop working and enjoy their remaining time as they see fit. Developing technology has a 90% chance of destroying the asteroid  (1=Maximize quality of life, 2=Some of both, 3=Develop the technology)",int
Treatment1,"Imagine the unfortunate scenario that you become seriously ill. The doctors tell you that you don?t have long to live, most likely a year at most. Your illness has a slight possibility of being cured. But if you choose to pursue treatment, the longer you have treatment the more severe your side effects will be, including extreme pain, nausea, and fatigue. You also have the option instead to be put on comfort care, where the symptoms of your illness will be taken care of. You cannot receive comfort care and treatment at the same time. Developing technology has a 1% chance of curing you (1=Comfort care for a year, 2=Treatment for 6 months and then comfort care for 6 months, 3=Treatment for a year)",int
Treatment2,"Imagine the unfortunate scenario that you become seriously ill. The doctors tell you that you don?t have long to live, most likely a year at most. Your illness has a slight possibility of being cured. But if you choose to pursue treatment, the longer you have treatment the more severe your side effects will be, including extreme pain, nausea, and fatigue. You also have the option instead to be put on comfort care, where the symptoms of your illness will be taken care of. You cannot receive comfort care and treatment at the same time. Developing technology has a 10% chance of curing you (1=Comfort care for a year, 2=Treatment for 6 months and then comfort care for 6 months, 3=Treatment for a year)",int
Treatment3,"Imagine the unfortunate scenario that you become seriously ill. The doctors tell you that you don?t have long to live, most likely a year at most. Your illness has a slight possibility of being cured. But if you choose to pursue treatment, the longer you have treatment the more severe your side effects will be, including extreme pain, nausea, and fatigue. You also have the option instead to be put on comfort care, where the symptoms of your illness will be taken care of. You cannot receive comfort care and treatment at the same time. Developing technology has a 33% chance of curing you (1=Comfort care for a year, 2=Treatment for 6 months and then comfort care for 6 months, 3=Treatment for a year)",int
Treatment4,"Imagine the unfortunate scenario that you become seriously ill. The doctors tell you that you don?t have long to live, most likely a year at most. Your illness has a slight possibility of being cured. But if you choose to pursue treatment, the longer you have treatment the more severe your side effects will be, including extreme pain, nausea, and fatigue. You also have the option instead to be put on comfort care, where the symptoms of your illness will be taken care of. You cannot receive comfort care and treatment at the same time. Developing technology has a 66% chance of of curing you (1=Comfort care for a year, 2=Treatment for 6 months and then comfort care for 6 months, 3=Treatment for a year)",int
Treatment5,"Imagine the unfortunate scenario that you become seriously ill. The doctors tell you that you don?t have long to live, most likely a year at most. Your illness has a slight possibility of being cured. But if you choose to pursue treatment, the longer you have treatment the more severe your side effects will be, including extreme pain, nausea, and fatigue. You also have the option instead to be put on comfort care, where the symptoms of your illness will be taken care of. You cannot receive comfort care and treatment at the same time. Developing technology has a 90% chance of curing you (1=Comfort care for a year, 2=Treatment for 6 months and then comfort care for 6 months, 3=Treatment for a year)",int
StudyVSdowntime,"Imagine that it's the weekend and you are going to study for a certification test to advance professionally and also enjoy some well-deserved down time. Which are you likely to do first? (1=study, 5= enjoy downtime)",int
LifeOrientation1,"In uncertain times, I usually expect the best. (1= strongly disagree, 5= strongly agree)",int
LifeOrientation2,"If something can go wrong for me, it will. (1= strongly disagree, 5= strongly agree)",int
LifeOrientation3," I'm always optimistic about my future. (1= strongly disagree, 5= strongly agree)",int
LifeOrientation4," I hardly ever expect things to go my way. (1= strongly disagree, 5= strongly agree)",int
LifeOrientation5," I rarely count on good things happening to me. (1= strongly disagree, 5= strongly agree)",int
LifeOrientation6,"Overall, I expect more good things to happen to me than bad. (1= strongly disagree, 5= strongly agree)",int
FutureEvent,"Think about a future event that is important for you (for example a career change, operation, graduation, marriage, vacation, or retirement). In a few words, describe that event.",string
OptimisticEvent,"How optimistic are you about this event? (0= very pessimistic, 100= very optimistic)",int
TimeToEventYears,How long will it be until this event takes place? Please answer in numbers only. (years),int
TimeToEventMonths,How long will it be until this event takes place? Please answer in numbers only. (months),int
TimeToEventWeeks,How long will it be until this event takes place? Please answer in numbers only. (weeks),int
TimeToEventDays,How long will it be until this event takes place? Please answer in numbers only. (days),int
WhoAmI1,Please write three answers to the following question using the blanks below: Who am I?,string
WhoAmI2,Please write three answers to the following question using the blanks below: Who am I?,string
WhoAmI3,Please write three answers to the following question using the blanks below: Who am I?,string
Identities1,"How important have the following identities/group memberships been to you during COVID-19? Your gender (0=Not at all important, 10= Extremely important)",int
Identities2,"How important have the following identities/group memberships been to you during COVID-19? Your race (0=Not at all important, 10= Extremely important)",int
Identities3,"How important have the following identities/group memberships been to you during COVID-19? Your socioeconomic status (income, education level (0=Not at all important, 10= Extremely important)",int
Identities4,"How important have the following identities/group memberships been to you during COVID-19? Your political orientation (0=Not at all important, 10= Extremely important)",int
Identities5,"How important have the following identities/group memberships been to you during COVID-19? Your age (0=Not at all important, 10= Extremely important)",int
RegFocus1,"Compared to most people, are you typically unable to get what you want out of life? (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus2,"Growing up, would you ever ""cross the line"" by doing things that your parents would not tolerate? (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus3,"How often have you accomplished things that got you ""psyched""' to work even harder? (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus4,"Did you get on your parents' nerves often when you were growing up?  (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus5,"How often did you obey rules and regulations that were established by your parents? (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus6,"Growing up, did you ever act in ways that your parents thought were objectionable? (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus7,"Do you often do well at different things that you try?  (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus8,"Not being careful enough has gotten me into trouble at times. (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus9,"When it comes to achieving things that are important to me, I find that I don't perform as well as I ideally would like to do. (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus10,"I feel like I have made progress toward being successful in my life. (1=never or seldom, 3= sometimes, 5=very often)",int
RegFocus11,"I have found very few hobbies or activities in my life that capture my interest or motivate me (1=never or seldom, 3= sometimes, 5=very often)",int
CelebrateXmas,"Do you celebrate Christmas? (1=No, 2=Yes)",int
FarXmas1,"How far away does Christmas Day feel from today? (1=very near, 100=very far)",int
PrepXmas1,"How much do you have left to do in preparation for Christmas? (1=nothing left to do, 100=still have everything left to do)",int
QuickXmas,"How quickly do you think Christmas Day will pass? (1=very slowly, 7=very quickly)",int
FamilyXmas1,"Are you looking forward to spending time with family during the Christmas holiday? (1=not at all, 100=very much)",int
ResponsibilityXmas,"How is the responsibility of preparing for Christmas divvied up among your family members? (1=one person has most of the responsibility, 7=everyone has an equal share of work)",int
ShareResponsibility1,How large is your share of responsibility for Christmas preparations? (percentage),int
ConcernCovidXmas,"How worried are you about the possibility of becoming infected with COVID-19 during the Christmas holiday? (1= not at all, 7 = extremely)",int
ConcernOtherXmas,"How worried are you about the possibility of infecting others with COVID-19 during the Christmas holiday? (1= not at all, 7= extremely)",int
PerceptionRiskXmas,"How likely do you think it is that you will become infected with COVID-19 during the Christmas holiday?  (1= not at all, 7= extremely)",int
InfectionSeverityXmas,"If you were to become infected with COVID-19 during the Christmas holiday, how severe do you expect your symptoms to be? (1= not at all, 7= extremely)",int
HowManyXmas,How many people are you planning to celebrate Christmas with?,int
NotHouseHoldXmas,How many people are you planning to celebrate Christmas with who are not members of your household?,int
ChangesXmas,Did you make any changes in your Christmas plans because of COVID?,string
CancelXmas,"How likely are you to avoid celebrating Christmas because of COVID-19 related concerns? (1= not at all, 7= extremely)",int
IOSXmas,Please select the circle that best describes how close you feel with the people you plan to celebrate Christmas with (4-10),int
AnimalVirus1.1,"Imagine the following scenario: A deadly new virus is found to have emerged from a wild animal population and is now spreading among people in Australia. Scientists confirm that it is highly contagious and that infections are fatal in the great majority of cases; as a consequence, if it is not stopped, within a year the virus would effectively destroy all human life. Experts determine that if humanity pools its resources and contributes a great deal of labor to creating new biotechnology, we may be able to develop an effective vaccine within a year before the virus spreads out of control. But there is a catch. Because global transportation and shipping will have to be completely shut down and all of our efforts will be dedicated to developing the new technology, things on Earth will get worse until the struggle is over. Jobs will be switched to essential work, lockdowns and shortages of food and goods will be widespread, and no resources will be available for humanitarian efforts, entertainment, or non-emergency healthcare. Alternatively, humanity could devote all of its resources to maximizing quality of life until the pandemic hits and wipes out civilization?people could stop working and enjoy their remaining time as they want. Developing technology has a 1% chance of stopping the virus (1=Maximize quality of life, 2=Some of both, 3=Develop the technology)",int
AnimalVirus1.2,"Imagine the following scenario: A deadly new virus is found to have emerged from a wild animal population and is now spreading among people in Australia. Scientists confirm that it is highly contagious and that infections are fatal in the great majority of cases; as a consequence, if it is not stopped, within a year the virus would effectively destroy all human life. Experts determine that if humanity pools its resources and contributes a great deal of labor to creating new biotechnology, we may be able to develop an effective vaccine within a year before the virus spreads out of control. But there is a catch. Because global transportation and shipping will have to be completely shut down and all of our efforts will be dedicated to developing the new technology, things on Earth will get worse until the struggle is over. Jobs will be switched to essential work, lockdowns and shortages of food and goods will be widespread, and no resources will be available for humanitarian efforts, entertainment, or non-emergency healthcare. Alternatively, humanity could devote all of its resources to maximizing quality of life until the pandemic hits and wipes out civilization?people could stop working and enjoy their remaining time as they want. Developing technology has a 10% chance of stopping the virus  (1=Maximize quality of life, 2=Some of both, 3=Develop the technology)",int
AnimalVirus1.3,"Imagine the following scenario: A deadly new virus is found to have emerged from a wild animal population and is now spreading among people in Australia. Scientists confirm that it is highly contagious and that infections are fatal in the great majority of cases; as a consequence, if it is not stopped, within a year the virus would effectively destroy all human life. Experts determine that if humanity pools its resources and contributes a great deal of labor to creating new biotechnology, we may be able to develop an effective vaccine within a year before the virus spreads out of control. But there is a catch. Because global transportation and shipping will have to be completely shut down and all of our efforts will be dedicated to developing the new technology, things on Earth will get worse until the struggle is over. Jobs will be switched to essential work, lockdowns and shortages of food and goods will be widespread, and no resources will be available for humanitarian efforts, entertainment, or non-emergency healthcare. Alternatively, humanity could devote all of its resources to maximizing quality of life until the pandemic hits and wipes out civilization?people could stop working and enjoy their remaining time as they want. Developing technology has a 33% chance of stopping the virus  (1=Maximize quality of life, 2=Some of both, 3=Develop the technology)",int
