key,description,response,type
RMET14,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Accusing",string
RMET15,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Contemplative",string
RMET19,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Tentative",string
RMET22,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Preoccupied",string
RMET24,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Pensive",string
RMET32,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Serious",string
RMET36,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","Four choices, different for each item. Correct answer = Suspicious",string
RMET8score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET9score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET12score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET14score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET15score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET19score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET22score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET24score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET32score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
RMET36score,"You will now be shown a set of eyes from people displaying various thoughts and feelings. For each set of eyes, choose the word that best describes what the person in the picture is thinking or feeling. Please choose the word which you consider to be most suitable. You should try to do the task as quickly as possible, but make sure that you have read all 4 words before making your choice.","0 = wrong answer, 1 = correct answer",int
PartnerEmpathy1,I share my acquaintance's emotions,"1=Do not agree at all, 7=Strongly agree",int
PartnerEmpathy2,I empathize with my acquaintance,"1=Do not agree at all, 7=Strongly agree",int
PartnerEmpathy3,I see that my acquaintance feels the same emotions as I do,"1=Do not agree at all, 7=Strongly agree",int
PartnerEmpathy4,I feel a strong bond with my acquaintance,"1=Do not agree at all, 7=Strongly agree",int
SharedAgency1,My acquaintance will take on my responsibilities so that I can accomplish my goals,"1=Do not agree at all, 7=Strongly agree",int
SharedAgency2,"If I am busy, my acquaintance will not tell me about their difficulties and needs","1=Do not agree at all, 7=Strongly agree",int
SharedAgency3,My acquaintance and I tend to negotiate when we disagree,"1=Do not agree at all, 7=Strongly agree",int
PromotionEE,"Imagine that your acquaintance has received a promotion at their job. They have been working really hard for this company for some time, and are very excited about this new opportunity. This promotion will give your acquaintance more financial stability and the ability to invest in the future. How good do you feel about your acquaintance receiving this promotion?","1=Not at all, 7=Really good",int
PromotionSH,"Imagine that your acquaintance has received a promotion at their job. They have been working really hard for this company for some time, and are very excited about this new opportunity. This promotion will give your acquaintance more financial stability and the ability to invest in the future. How do you feel this promotion will influence you?","1=This will have no influence on me, 7=This will have a positive influence on me",int
DeathEE,"Imagine that your acquaintance recently lost both of their parents in a car accident. Your acquaintance is devastated about their loss. Without his/her parents, your acquaintance has lost their main source of emotional and social support, and they do not know how to cope. How bad do you feel about your acquaintance losing their parents?","1=Not at all, 7=Really bad",int
DeathSH,"Imagine that your acquaintance recently lost both of their parents in a car accident. Your acquaintance is devastated about their loss. Without his/her parents, your acquaintance has lost their main source of emotional and social support, and they do not know how to cope. How do you feel that this loss will influence you? ","1=This will have no influence on me, 7=This will have a positive influence on me",int
Dggive,"You will now play an allocation task with your acquaintance. In this allocation task you will be given 100 lottery tickets. Each ticket is a lottery entry for two $5.00 USD prices. You can allocate any amount between 0 and 100 to your acquaintance. The remainder amount you will keep as entries to the lottery for yourself. The more tickets you allocate to your acquaintance, the greater the chances of them winning; and the more tickets you allocate to yourself, the greater your chances of winning. We will send you information about how your acquaintance can contact us and receive their payment if they win the lottery. If you are the winner, we will add a bonus payment to your Prolific account. How many lottery tickets would you like to allocate to your acquaintance?","Free input, numbers only. Max = 100",int
HouseHold,How many people currently live in your household?,"Free input, numbers only",int
HealthCare,Are you currently employed as a healthcare worker? ,"1=No, 2=Yes",int
Teacher,Are you currently employed as a teacher? ,"1=No, 2=Yes",int
Occupation,What is your current occupation?,Free text,string
WorkHighRisk,Has your occupation been identified as high-risk for COVID-19 transmission?,"1=No, 2=Not sure, 3=Yes",int
WorkCovidGear,"Does your workplace provide you with sufficient access to protective gear against COVID-19 (for example, cloth masks, surgical masks, respirators, eye protection, etc)?","1=Strongly disagree, 7=Strongly agree",int
Work,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? During work"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
ErrandOut,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Outdors errands"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
ErrandIN,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Indoor errands"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
Taxi,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? During taxi, lyft/uber"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
PublicTransport,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Using large public transportation such as buses or subways"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
RestaurantOut,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Dining at a restaurant outdoors"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
RestaurantIN,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Dining at a restaurant indoors"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
PartyOut,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Hosting/attending a gathering or party outdoors"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
PartyIN,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Hosting/attending a gathering or party indoors"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
GymOut,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Using an outdoor gym/fitness center"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
GymIN,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Using an indoor gym/fitness center"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
Salon,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Going to a salon such as a nail/hair salon or barbershop"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
Camping,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Camping"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
Hotel,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Spending the night in a hotel"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
OtherHouse,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Spending the night in someone else's house"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
Park,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Going to parks or recreational centers/facilities"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
Doctor,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Going a doctor's/dentist's office"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
Beach,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Going to the beach or lake"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
Pool,"Since March 13, when COVID-19 was declared a global pandemic, have you worn a mask and/or stayed 6 feet (2 meters) away from other people when doing the following activities? Going to a public/shared pool"," 1=Never, 3=About half the time, 5=Always, 6=I have not done this activity since March 13",int
ContactFriends,"How often have you been in contact with friends (not including family members, in-laws, children) since the pandemic started?","1=Less than once a month, 2=Once a month, 3=Once a week, 4=A few times a week, 5=Every day",int
WayContact,What is your primary way of keeping in contact with friends since the pandemic started?,"1=In-person contact, 2=Texting and phone calls, 3=Video calling (e.g., Skype, FaceTime, Zoom), 4=Emails",int
ImpactedFriends,How has the pandemic impacted your existing friendships?,"1=The pandemic has made them worse, 4=Neither better or worse, 7=The pandemic has made them better",int
NewFriends,"Have you made any new friendships since the pandemic began? If so, how many?","Free input, numbers only",int
FriendsSatisfied,How satisfied are you with your friendships currently during the pandemic?,"1=Not at all satisfied, 7=Completely satisfied",int
FriendsIsolated,How isolated from your social circle have you felt during the pandemic? ,"1=Not at all isolated, 7=Completely isolated",int
FriendsLonely,How lonely have you felt during the pandemic?,"1=Not at all lonely, 7=Completely lonely",int
FriendsGuilty,Do you feel guilty because you are not able to check-in on your friends in person as much as you used to?,"1=Not at all, 7=Very much",int
FriendsParty,"A friend of yours is hosting a party indoors at his house next weekend that will have about 50 guests. Some of the guests are mutual friends of yours; other guests you do not know. Considering you have no other obligations, how likely are you to attend this party?","1=Not at all, 7=Very likely",int
FP1,How many new friends have you made in the past 12 months?,"1=0 friends, 2=1-2 friends, 3=3-5 friends, 4=6-10 friends, 5=11-15 friends, 6=16-20 friends, 7=More than 20 friends",int
FP2,"Friendships without closeness are ok, I don∆t feel like I need to be emotionally close with all of my friends","1=Strongly disagree, 7=Strongly agree",int
FP3,I enjoy making casual friendships with many different people,"1=Strongly disagree, 7=Strongly agree",int
FP4,I try to make new friends even if I can't be sure that I will develop close friendships with all of them,"1=Strongly disagree, 7=Strongly agree",int
FP5,"I want to have a lot of different friendships with a lot of different people, even if it means that I don't get to know all of them very well","1=Strongly disagree, 7=Strongly agree",int
FP6,How long would you have to know someone to consider that person a friend?,"1=More than 1 year, 2=1 year, 3=6-12 months, 4=3-6 months, 5=1-3 months, 6=A few weeks, 7=A few days",int
FP7,I often find myself wishing I could be friends with lots of new people,"1=Strongly disagree, 7=Strongly agree",int
FP8,I often find myself wishing I could get closer with lots of new people,"1=Strongly disagree, 7=Strongly agree",int
FP9,I often wish I could become friends with many of the people that I meet,"1=Strongly disagree, 7=Strongly agree",int
FP10,"In situations where I am around new people, I often feel really motivated to make new friends","1=Strongly disagree, 7=Strongly agree",int
FP11,"It doesn't matter how many friends I have, I am always looking to meet new people to talk to/hang out with","1=Strongly disagree, 7=Strongly agree",int
FP12,I often wish that others would introduce me to new people to talk to/hang out with,"1=Strongly disagree, 7=Strongly agree",int
FP13,"In situations where I am around new people, I find it really easy to make new friends","1=Strongly disagree, 7=Strongly agree",int
CloseFriendPFIEmpathyComposite,"Average of items PFIclose1, PFIclose2, & PFIclose5. Values for PFIclose5 have been reversed before averaging.",,int
AcqPFIEmpathyComposite,"Average of items PFIAcq1, PFIAcq2, & PFIAcq5. Values for PFIAcq5have been reversed before averaging.",,int
NeighborPFIEmpathyComposite,"Average of items PFINeighEmpathy, PFINeigh2, & PFINeigh5. Values for PFINeigh5 have been reversed before averaging.",,int
CountryPFIEmpathyComposite,"Average of items PFICountry1, PFICountry2, & PFICountry5. Values for PFICountry5 have been reversed before averaging.",,int
HumanityPFIEmpathyComposite,"Average of items PFIHumanityEmpathy, PFIHumanity2, & PFIHumanity5. Values for PFIHumanity5have been reversed before averaging.",,int
CloseFriendPFISharedFAteComposite,"Average of items PFIclose3, PFIclose4, & PFIclose6",,int
AcqPFISharedFAteComposite,"Average of items PFIAcq3, PFIAcq4, & PFIAcq6",,int
NeighborPFISharedFAteComposite,"Average of items PFINeigh3, PFINeigh4, & PFINeigh6",,int
CountryPFISharedFAteComposite,"Average of items PFICountry3, PFICountry4, & PFICountry6",,int
HumanityPFISharedFAteComposite,"Average of items PFIHumanity3, PFIHumanity4, & PFIHumanity6",,int
PSScomposite,"Average of items PSS1 to PSS10, with PSS4, PSS5, PSS7 & PSS8 values reversed for this composite calculation.",,int
AnxietyComposite,Average of items Anxiety1 to Anxiety7,,int
WillingnessNeighborComposite,"Average of items WillingnessNeigh1, WillingnessNeigh2, WillingnessNeigh, & WillingnessNeigh4",,int
WillingnessCountryComposite,"Average of items WillingnessCountry1, WillingnessCountry2, WillingnessCountry3, & WillingnessCountry4",,int
WillingnessHumanityComposite,"Average of items WillingnessHumanity1, WillingnessHumanity2, WillingnessHumanity, & WillingnessHumanity4",,int
PerceptionRiskComposite,"Average of items PerceptionsRisk, PerceptionsRisk2, & PerceptionsRisk3",,int
RiskManagementcomposite1,"Average of items Riskmanagementtransfer, Riskmanagementretention, Riskmanagementreduction, RiskmanagementAvoid1, RiskmanagementAvoid2, & Riskmanagementreduction2",,int
RiskManagementcomposite2,"Average score for items Riskmanagementtransfer, Riskmanagementretention, Riskmanagementreduction, & Riskmanagementavoidance",,int
CFICloseFriendComposite,Average score for items CFIclose1 to CFIclose6,,int
CFIAcqComposite,Average score for items CFIAcq1 to CFIAcq6,,int
CFINeighborComposite,Average score for items CFINeigh1 to CFINeigh6,,int
CFICountryComposite,Average score for items CFICountry1 to CFICountry6,,int
CFIHumanityComposite,Average score for items CFIHumanity1 to CFIHumanity6,,int
DiseaseAvoidanceComposite,Average score for items DiseaseAvoidance1 to DiseaseAvoidance6,,int
NBTNeighborComposite,Average score for items NBTNeigh & NBTNeigh2,,int
NBTHumanityComposite,Average score for items NBTHumanity & NBTHumanity2,,int
NBTCountryComposite,Average score for items NBTCommunity1 & NBTCommunity2,,int
MateSeekingComposite,Average score for items MateSeeking1 & MateSeeking2,,int
SocialDistanceComposite,Average score for items SocialDistnacing1 & SocialDistnacing2,,int
RMETcomposite,"A sum of RMETscore items, basically indicating how many correct answers a participant got",,int
PerspectiveTakingComposite,Average score for items PT1 to PT7,,int
PartnerEmpathyAcqComposite,Average score for items PartnerEmpathy1 to PartnerEmpathy4,,int
SharedAgencyAcqComposite,Average score for items SharedAgency1 to SharedAgency3,,int
AskingHelpComposite,Average score for items Askingforhelp1 to Askingforhelp7,,int
LikelyGiveHelpComposite,Average score for items Givinghelp1 to Givinghelp7,,int
RiskManagementProtestComposite,Average score for items RiskProtests1 to RiskProtests5,,int
HousingInsecurityComposite,Average score for items Housing1 to Housing3,,int
NeedForChaosComposite,Average score for items Chaos1 to Chaos8,,int
NeedForOrderComposite,Average score for items Chaos9 to Chaos12,,int
FoodInsecurityComposite,Average score for items FoodInsecurity1 to FoodInsecurity3,,int
UseGreenSpacesComposite,Average score of items GreenSettings & OutdoorRec,,int
TimesHelpGivenComposite,Average score of items TimesHelpGiven1 to TimesHelpGiven7,,int
ProportionWearMaskComposite,Average score for items ProportionWearMask1 ProportionWearMask4,,int
CFCcomposite,CFCcompositeFuture - CFCcompositeImmediate + 56,,int
CFCcompositeFuture,"Sum of items FutureConsequences1, CFC1, CFC3, CFC4, CFC5, CFC6, CFC7",,int
CFCcompositeImmediate,"Sum of items FutureConsequences2, FutureConsequences3, FutureConsequences4, FutureConsequences5, FutureConsequences6, FutureConsequences7, CFC2",,int
RiskmanagementAttention,Are you paying attention? ,"1= Yes, 2= No",int
PFINeighAttention,Are you paying attention? ,"1= Yes, 2= No",int
PFIHumanityAttention,Are you paying attention? ,"1= Yes, 2= No",int
IsolateAttention,Are you paying attention? ,"1= Yes, 2= No",int
AskingforhelpAttention,Are you paying attention? ,"1= Yes, 2= No",int
GivinghelpAttention,Are you paying attention? ,"1= Yes, 2= No",int
FailedAttentionChecks,Number of times a attention check failed (sum of attention items scoring 2),,int
FailedAttentionChecksScore,Percentage of failed attention checks,,int
